Date,Drift_Score
2000-02-02,0.0
2000-03-21,0.041027010492945104
2000-05-16,0.1862896675869491
2000-06-28,0.7376126664646576
2000-08-22,0.2517733491748849
2000-10-03,0.29933962974217176
2000-11-15,0.3288513107994607
2000-12-19,0.7048229940252448
2001-01-03,0.7155524142857392
2001-01-31,0.4377336267842634
2001-03-20,0.5479168277063715
2001-04-18,0.5688791358338317
2001-05-15,0.168344184525411
2001-06-27,0.4338566666335768
2001-08-21,0.16358135550148112
2001-09-17,0.4643780464887032
2001-10-02,0.2888173872148019
2001-11-06,0.3075941364234428
2001-12-11,0.2656618715003851
2002-01-30,0.5201984984983967
2002-03-19,0.734994117764895
2002-05-07,0.23838194258463452
2002-06-26,0.15439882920837855
2002-08-13,0.45604623085347007
2002-09-24,0.23307090579616707
2002-11-06,0.4002817879052927
2002-12-10,0.2628670220966324
2003-01-29,0.46786618403573277
2003-03-18,0.3565192111222305
2003-05-06,0.5557850994704181
2003-06-25,0.4851291380147562
2003-08-12,0.39712791395058855
2003-09-16,0.051588929060231936
2003-10-28,0.03170824257871041
2003-12-09,0.2508071611036038
2004-01-28,0.20512664712470585
2004-03-16,0.10111439058800542
2004-05-04,0.25967810339886965
2004-06-30,0.37505200432303587
2004-08-10,0.1522204845125601
2004-09-21,0.15348050157429594
2004-11-10,0.09259891116912944
2004-12-14,0.2098891622908884
2005-02-02,0.2499505376943938
2005-03-22,0.15468774193607093
2005-05-03,0.1303670666596779
2005-06-30,0.1085179506435563
2005-08-09,0.11424874530497553
2005-09-20,0.29066911697224307
2005-11-01,0.2546447504627585
2005-12-13,0.265707667282155
2006-01-31,0.17806307350170725
2006-03-28,0.31666069973232847
2006-05-10,0.20476787351884496
2006-06-29,0.21773283183550307
2006-08-08,0.29875948419540277
2006-09-20,0.149880251072825
2006-10-25,0.13322870830335276
2006-12-12,0.06921435479583626
2007-01-31,0.389938491348477
2007-03-21,0.32782619946584834
2007-05-09,0.05163193456801052
2007-06-18,0.14280042006825244
2007-08-07,0.2163957568361673
2007-08-10,0.9369362771539075
2007-08-17,0.9080485713121779
2007-09-18,0.5920230382977332
2007-10-31,0.24958834606246993
2007-12-11,0.2389982522162689
2008-01-22,0.4692197928954587
2008-01-30,0.32569062459637566
2008-03-11,0.921684927221632
2008-03-18,0.9065742841061846
2008-04-30,0.14682034201070882
2008-06-25,0.3214488820383724
2008-08-05,0.17491246155945384
2008-09-16,0.2973548463570491
2008-10-08,0.828993269566264
2008-10-29,0.6044551942799485
2008-12-16,0.5980742853620196
2009-01-28,0.40359683251776823
2009-03-18,0.40004530898283996
2009-04-29,0.26631490828023685
2009-06-24,0.22488411182180545
2009-08-12,0.106587415839978
2009-09-23,0.12464738353848182
2009-11-04,0.10088409233675577
2009-12-16,0.39079647622224567
2010-01-27,0.15662949852995722
2010-03-16,0.32040280992035075
2010-04-28,0.11309134339603555
2010-05-09,0.9109413849208976
2010-06-23,0.9372363246410309
2010-08-10,0.27890811324302256
2010-09-21,0.20912060125908194
2010-11-03,0.30540228939393166
2010-12-14,0.08197906915926068
2011-01-26,0.12847619931062948
2011-03-15,0.22127496163584837
2011-04-27,0.09881723719886393
2011-06-22,0.3085235721524263
2011-08-09,0.184894216597843
2011-09-21,0.39528818048015424
2011-11-02,0.2671504414164392
2011-12-13,0.14364427576663985
2012-01-25,0.1760291629637728
2012-03-13,0.1507003207875348
2012-04-25,0.05810250352485724
2012-06-20,0.3369070700652401
2012-08-01,0.2877771631706618
2012-09-13,0.3396068142173745
2012-10-24,0.07148964368121169
2012-12-12,0.2055053370101404
2013-01-30,0.1258055918883456
2013-03-20,0.052697957537272355
2013-05-01,0.027729971519998342
2013-06-19,0.045025920702537414
2013-07-31,0.04489744365839632
2013-09-18,0.12059999691411916
2013-10-30,0.026535058293207348
2013-12-18,0.1249689377159734
2014-01-29,0.044311195598933484
2014-03-19,0.10353598069811398
2014-04-30,0.049290765078506604
2014-06-18,0.039327650857191254
2014-07-30,0.06620088908995658
2014-09-17,0.054783314769416
2014-10-29,0.2087764827588453
2014-12-17,0.2175560537351423
2015-01-28,0.20146987923490434
2015-03-18,0.161572950981424
2015-04-29,0.1616298834300285
2015-06-17,0.0942990050101008
2015-07-29,0.040777687607324364
2015-09-17,0.05644478301199074
2015-10-28,0.046958024085749006
2015-12-16,0.2694580990355857
2016-01-27,0.16304929199913176
2016-03-16,0.09099561661059896
2016-04-27,0.08234834691615178
2016-06-15,0.09504321165162055
2016-07-27,0.08907877604688408
2016-09-21,0.08579611876431348
2016-11-02,0.04057451345677543
2016-12-14,0.08825570957315654
2017-02-01,0.16283071179951358
2017-03-15,0.10808244044203197
2017-05-03,0.1052386598253019
2017-06-14,0.2067887897178159
2017-07-26,0.06231750457304175
2017-09-20,0.2203939164234986
2017-11-01,0.13349502250260326
2017-12-13,0.15917748177560154
2018-01-31,0.15820380675121015
2018-03-21,0.08224881371964476
2018-05-02,0.05740673323617829
2018-06-13,0.17399353104129833
2018-08-01,0.10520531661611654
2018-09-26,0.04993857483471709
2018-11-08,0.11918936609171482
2018-12-19,0.06462389272297286
2019-01-30,0.2262266730084148
2019-03-20,0.15701132652275562
2019-05-01,0.09477887572632482
2019-06-19,0.17548226887029406
2019-07-31,0.11482058586331811
2019-09-18,0.09076244714426462
2019-10-11,0.9423978452085846
2019-10-30,0.9176954334379315
2019-12-11,0.08286600944707989
2020-01-29,0.09369339873485305
2020-03-03,0.6349685879928201
2020-03-15,0.6548828384149257
2020-03-23,0.5879493340404097
2020-03-31,0.7575660292587858
