Date,Sentiment_Score,Positive,Negative,Neutral,Total_Sentences
2016-07-27,0.3333333333333333,10,3,8,21
2016-09-21,0.42857142857142855,11,2,8,21
2016-11-02,0.42857142857142855,11,2,8,21
2016-12-14,0.3,9,3,8,20
2017-02-01,0.3,9,3,8,20
2017-03-15,0.42105263157894735,9,1,9,19
2017-05-03,0.23809523809523808,8,3,10,21
2017-06-14,0.2,7,3,10,20
2017-07-26,0.15789473684210525,6,3,10,19
2017-09-20,0.05,6,5,9,20
2017-11-01,0.15,7,4,9,20
2017-12-13,0.2222222222222222,7,3,8,18
2018-01-31,0.25,6,2,8,16
2018-03-21,0.1111111111111111,6,4,8,18
2018-05-02,0.23529411764705882,6,2,9,17
2018-06-13,0.3076923076923077,5,1,7,13
2018-08-01,0.23076923076923078,4,1,8,13
2018-09-26,0.16666666666666666,3,1,8,12
2018-11-08,0.16666666666666666,3,1,8,12
2018-12-19,0.16666666666666666,3,1,8,12
2019-01-30,0.08333333333333333,3,2,7,12
2019-03-20,-0.3333333333333333,1,5,6,12
2019-05-01,-0.16666666666666666,2,4,6,12
2019-06-19,-0.08333333333333333,3,4,5,12
2019-07-31,-0.07692307692307693,4,5,4,13
2019-09-18,-0.16666666666666666,3,5,4,12
2019-10-11,0.25,4,0,12,16
2019-10-30,-0.25,2,5,5,12
2019-12-11,-0.16666666666666666,2,4,6,12
2020-01-29,-0.16666666666666666,2,4,6,12
2020-03-03,-0.16666666666666666,1,2,3,6
2020-03-15,0.0,9,9,8,26
2020-03-23,0.3684210526315789,7,0,12,19
2020-03-31,0.3333333333333333,3,0,6,9
2020-04-29,-0.06666666666666667,4,5,6,15
2020-06-10,0.06666666666666667,5,4,6,15
2020-07-29,0.0625,5,4,7,16
2020-09-16,0.125,6,4,6,16
2020-11-05,0.11764705882352941,6,4,7,17
2020-12-16,0.17647058823529413,7,4,6,17
2021-01-27,0.17647058823529413,7,4,6,17
2021-03-17,0.29411764705882354,8,3,6,17
2021-04-28,0.4444444444444444,10,2,6,18
2021-06-16,0.5555555555555556,11,1,6,18
2021-07-28,0.6666666666666666,12,0,6,18
2021-09-22,0.5789473684210527,12,1,6,19
2021-11-03,0.4090909090909091,12,3,7,22
2021-12-15,0.05,7,6,7,20
2022-01-26,0.05263157894736842,6,5,8,19
2022-03-16,-0.14285714285714285,3,5,6,14
2022-05-04,-0.29411764705882354,2,7,8,17
2022-06-15,-0.1875,3,6,7,16
2022-07-27,-0.2857142857142857,2,6,6,14
2022-09-21,-0.14285714285714285,3,5,6,14
2022-11-02,-0.11764705882352941,3,5,9,17
2022-12-14,-0.11764705882352941,3,5,9,17
2023-02-01,0.125,4,2,10,16
2023-03-22,0.2631578947368421,6,1,12,19
2023-05-03,0.1111111111111111,4,2,12,18
2023-06-14,0.1111111111111111,4,2,12,18
2023-07-26,0.1111111111111111,4,2,12,18
2023-09-20,0.1111111111111111,4,2,12,18
2023-11-01,0.1111111111111111,4,2,12,18
2023-12-13,0.0,3,3,12,18
2024-01-31,0.125,4,2,10,16
2024-03-20,0.125,4,2,10,16
2024-05-01,0.0,4,4,11,19
2024-06-12,0.11764705882352941,5,3,9,17
2024-07-31,0.1111111111111111,5,3,10,18
2024-09-18,0.06666666666666667,4,3,8,15
2024-11-07,0.2,4,1,10,15
2024-12-18,0.2,4,1,10,15
