Date,Sentiment_Score,Positive,Negative,Neutral,Total_Sentences,Drift_Score,US2Y,US10Y,SP500_Ret,US2Y_Change,US10Y_Change
2003-01-29,0.2,2,1,2,5,0.4678661840357327,1.77,4.06,0.6779000000000001,7.000000000000006,5.999999999999961
2003-03-18,0.0,1,1,6,8,0.3565192111222305,1.72,3.91,0.4242,9.000000000000007,9.00000000000003
2003-05-06,0.0,3,3,2,8,0.5557850994704181,1.45,3.84,0.8462000000000001,-10.000000000000009,-8.000000000000007
2003-06-25,0.4545454545454545,6,1,4,11,0.4851291380147562,1.3,3.38,-0.8267,16.000000000000014,8.999999999999986
2003-08-12,0.375,5,2,1,8,0.3971279139505885,1.71,4.37,0.9953,-10.000000000000009,-0.9999999999999787
2003-09-16,0.375,5,2,1,8,0.0515889290602319,1.63,4.29,1.4298,0.0,0.9999999999999787
2003-10-28,0.375,5,2,1,8,0.0317082425787104,1.71,4.23,1.5187000000000002,-12.00000000000001,-6.99999999999994
2003-12-09,0.25,4,2,2,8,0.2508071611036038,1.97,4.32,-0.8529,3.0000000000000027,3.000000000000025
2004-01-28,0.3333333333333333,5,2,2,9,0.2051266471247058,1.87,4.22,-1.361,17.000000000000014,10.999999999999943
2004-03-16,0.1111111111111111,4,3,2,9,0.1011143905880054,1.51,3.7,0.5623,-5.000000000000004,-7.999999999999963
2004-05-04,0.75,6,0,2,8,0.2596781033988696,2.32,4.56,0.1843,-2.0000000000000018,2.999999999999936
2004-06-30,0.7777777777777778,7,0,2,9,0.3750520043230358,2.7,4.62,0.4084,-12.99999999999999,-8.000000000000007
2004-08-10,0.6363636363636364,8,1,2,11,0.1522204845125601,2.55,4.32,1.2973999999999999,9.999999999999964,4.0000000000000036
2004-09-21,0.7777777777777778,7,0,2,9,0.1534805015742959,2.49,4.05,0.6327,3.000000000000025,-2.000000000000046
2004-11-10,0.5555555555555556,5,0,4,9,0.0925989111691294,2.82,4.25,-0.1005,2.0000000000000018,3.000000000000025
2004-12-14,0.4545454545454545,5,0,6,11,0.2098891622908884,2.99,4.14,0.3921,1.000000000000023,-2.000000000000046
2005-02-02,0.625,5,0,3,8,0.2499505376943938,3.32,4.15,0.31779999999999997,2.9999999999999805,0.0
2005-03-22,0.75,6,0,2,8,0.1546877419360709,3.86,4.63,-1.0196,13.999999999999968,9.999999999999964
2005-05-03,0.5555555555555556,6,1,2,9,0.1303670666596779,3.68,4.21,-0.0852,4.0000000000000036,0.0
2005-06-30,0.7142857142857143,5,0,2,7,0.1085179506435563,3.66,3.94,-0.7101,1.000000000000023,-5.000000000000027
2005-08-09,0.7142857142857143,5,0,2,7,0.1142487453049755,4.13,4.41,0.6745,-3.000000000000025,-0.9999999999999787
2005-09-20,0.0909090909090909,5,4,2,11,0.290669116972243,4.0,4.26,-0.7863,6.999999999999984,0.9999999999999787
2005-11-01,0.1428571428571428,3,2,2,7,0.2546447504627585,4.42,4.58,-0.35209999999999997,1.9999999999999574,0.9999999999999787
2005-12-13,0.2857142857142857,3,1,3,7,0.265707667282155,4.43,4.54,0.5554,-2.000000000000046,-1.9999999999999574
2006-01-31,0.3333333333333333,3,1,2,6,0.1780630735017072,4.54,4.53,-0.3984,2.000000000000046,-0.9999999999999787
2006-03-28,0.4285714285714285,4,1,2,7,0.3166606997323284,4.81,4.79,-0.6438,8.999999999999986,8.999999999999986
2006-05-10,0.7142857142857143,5,0,2,7,0.2047678735188449,5.01,5.13,-0.17279999999999998,4.0000000000000036,0.0
2006-06-29,0.625,5,0,3,8,0.217732831835503,5.21,5.22,2.1565000000000003,-8.000000000000007,-3.000000000000025
2006-08-08,0.0,1,1,2,4,0.2987594841954027,4.91,4.93,-0.3363,-4.999999999999982,0.0
2006-09-20,0.5,2,0,2,4,0.149880251072825,4.81,4.73,0.5211,1.9999999999999574,-0.9999999999999787
2006-10-25,0.2,2,1,2,5,0.1332287083033527,4.88,4.78,0.35140000000000005,-3.000000000000025,-4.999999999999982
2006-12-12,0.2,2,1,2,5,0.0692143547958362,4.61,4.49,-0.1047,-5.999999999999961,-2.999999999999936
2007-01-31,0.6666666666666666,4,0,2,6,0.389938491348477,4.94,4.83,0.6593,-4.0000000000000036,-4.999999999999982
2007-03-21,0.1666666666666666,3,2,1,6,0.3278261994658483,4.51,4.53,1.7081,-8.999999999999986,-2.999999999999936
2007-05-09,0.1666666666666666,3,2,1,6,0.0516319345680105,4.73,4.67,0.32230000000000003,5.000000000000071,4.0000000000000036
2007-06-18,0.5714285714285714,5,1,1,7,0.1428004200682524,5.01,5.15,-0.1213,-4.0000000000000036,-0.9999999999999787
2007-08-07,0.625,6,1,1,8,0.2163957568361673,4.56,4.77,0.6159,9.999999999999964,4.999999999999982
2007-08-10,-0.3333333333333333,0,1,2,3,0.9369362771539076,4.47,4.81,0.0379,-2.000000000000046,1.9999999999999574
2007-08-17,0.3333333333333333,1,0,2,3,0.908048571312178,4.18,4.68,2.4566999999999997,9.999999999999964,8.000000000000007
2007-09-18,0.1428571428571428,3,2,2,7,0.5920230382977332,4.0,4.5,2.9208000000000003,-8.000000000000007,1.9999999999999574
2007-10-31,0.25,3,1,4,8,0.2495883460624699,3.94,4.48,1.1991999999999998,12.00000000000001,8.000000000000007
2007-12-11,-0.125,2,3,3,8,0.2389982522162689,2.94,3.98,-2.5271,-23.0,-17.000000000000036
2008-01-22,-0.375,1,4,3,8,0.4692197928954587,2.08,3.52,-1.1085,-27.99999999999998,-14.000000000000012
2008-01-30,-0.1428571428571428,2,3,2,7,0.3256906245963756,2.3,3.78,-0.4764,0.9999999999999787,8.999999999999986
2008-03-11,0.2857142857142857,5,1,8,14,0.921684927221632,1.74,3.6,3.7130000000000005,27.0,14.000000000000012
2008-03-18,-0.0909090909090909,4,5,2,11,0.9065742841061846,1.58,3.48,4.2410000000000005,23.0,14.000000000000012
2008-04-30,-0.1,3,4,3,10,0.1468203420107088,2.29,3.77,-0.3846,-6.000000000000005,-8.000000000000007
2008-06-25,0.125,4,3,1,8,0.3214488820383724,2.82,4.12,0.5843,-5.000000000000027,2.000000000000046
2008-08-05,0.0,3,3,2,8,0.1749124615594538,2.54,4.04,2.8719,1.000000000000023,6.000000000000005
2008-09-16,-0.2222222222222222,2,4,3,9,0.2973548463570491,1.89,3.48,1.7514999999999998,10.999999999999988,0.9999999999999787
2008-10-08,-0.2666666666666666,4,8,3,15,0.828993269566264,1.65,3.72,-1.1333,17.999999999999993,22.00000000000002
2008-10-29,-0.25,2,4,2,8,0.6044551942799485,1.58,3.93,-1.1079,-6.999999999999984,4.0000000000000036
2008-12-16,-0.1428571428571428,4,6,4,14,0.5980742853620196,0.65,2.37,5.136,-9.999999999999998,-15.99999999999997
2009-01-28,-0.0714285714285714,5,6,3,14,0.4035968325177682,0.89,2.71,3.3558,2.0000000000000018,12.00000000000001
2009-03-18,0.0833333333333333,6,5,1,12,0.4000453089828399,0.82,2.51,2.0858000000000003,-23.00000000000001,-51.00000000000002
2009-04-29,-0.0769230769230769,4,5,4,13,0.2663149082802368,0.94,3.12,2.161,-1.0000000000000009,7.000000000000028
2009-06-24,0.25,6,3,3,12,0.2248841118218054,1.19,3.72,0.6524,5.000000000000004,7.000000000000028
